ID,TIMESTAMP,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z
3, 196912, 2989, 3004, 2965, 2918, 2920, 2898, -5233, 13410, 95828, -2591, 1905, -1448, 891000, 1707000, -69000
3, 196980, 2989, 3004, 2965, 2918, 2920, 2898, -5173, 13470, 95619, -2667, 2057, -1524, 843000, 1611000, -69000
3, 197145, 2989, 3004, 2965, 2918, 2920, 2898, -5317, 13398, 95655, -2515, 1905, -1524, 747000, 1611000, -69000
3, 197214, 2989, 3004, 2966, 2918, 2920, 2898, -5215, 13284, 95481, -2591, 1905, -1600, 1035000, 1659000, -69000
3, 197283, 2989, 3005, 2966, 2918, 2920, 2898, -5197, 13446, 95714, -2667, 1981, -1371, 867000, 1659000, -75000
3, 197351, 2990, 3005, 2966, 2918, 2920, 2898, -5036, 13428, 95619, -2591, 1905, -1524, 843000, 1587000, -57000
3, 197419, 2990, 3005, 2966, 2918, 2920, 2898, -5185, 13506, 95583, -2743, 2057, -1524, 1131000, 1707000, -69000
3, 197487, 2990, 3005, 2966, 2918, 2920, 2898, -5245, 13278, 95655, -2591, 1905, -1371, 867000, 1611000, -51000
3, 197555, 2990, 3005, 2966, 2918, 2920, 2898, -5072, 13320, 95774, -2515, 1981, -1371, 987000, 1611000, -93000
3, 197623, 2990, 3005, 2966, 2918, 2920, 2898, -5042, 13326, 95625, -2667, 1981, -1448, 939000, 1611000, -69000
3, 197691, 2990, 3005, 2966, 2918, 2919, 2898, -5185, 13326, 95409, -2743, 1981, -1524, 939000, 1587000, -75000
3, 197856, 2991, 3006, 2967, 2918, 2919, 2898, -5197, 13171, 95565, -2743, 1905, -1524, 915000, 1539000, -69000
3, 197924, 2991, 3006, 2967, 2918, 2919, 2898, -5335, 13266, 95421, -2439, 2057, -1524, 915000, 1587000, -69000
3, 197992, 2991, 3006, 2967, 2918, 2919, 2898, -5173, 13183, 95595, -2591, 1981, -1524, 843000, 1587000, -75000
